,algo,cv fold,metric,value
115,Decision Tree,0,test_roc_auc,0.8142569444444444
116,Decision Tree,1,test_roc_auc,0.8227152777777779
117,Decision Tree,2,test_roc_auc,0.8236805555555555
118,Decision Tree,3,test_roc_auc,0.8260486111111112
119,Decision Tree,4,test_roc_auc,0.8150277777777777
0,Stacking,0,fit_time,2086.0224022865295
1,Stacking,1,fit_time,2133.7321705818176
2,Stacking,2,fit_time,2122.568591117859
3,Stacking,3,fit_time,2172.0704238414764
4,Stacking,4,fit_time,2157.7261197566986
5,Stacking,0,score_time,1.5447602272033691
6,Stacking,1,score_time,1.3201861381530762
7,Stacking,2,score_time,1.5147314071655273
8,Stacking,3,score_time,1.128255844116211
9,Stacking,4,score_time,1.2131340503692627
10,Stacking,0,test_precision,0.8720122350884859
11,Stacking,1,test_precision,0.8930032103434627
12,Stacking,2,test_precision,0.891541460423146
13,Stacking,3,test_precision,0.9025760301926538
14,Stacking,4,test_precision,0.896063551235965
15,Stacking,0,test_recall,0.8315
16,Stacking,1,test_recall,0.8460833333333333
17,Stacking,2,test_recall,0.8480416666666667
18,Stacking,3,test_recall,0.8569583333333334
19,Stacking,4,test_recall,0.8412916666666667
20,Stacking,0,test_f1,0.8512743947957769
21,Stacking,1,test_f1,0.8689103318427865
22,Stacking,2,test_f1,0.8692476883982149
23,Stacking,3,test_f1,0.8791758394425804
24,Stacking,4,test_f1,0.8678142393570154
25,Stacking,0,test_roc_auc,0.8954097222222221
26,Stacking,1,test_roc_auc,0.9061458333333333
27,Stacking,2,test_roc_auc,0.9068263888888888
28,Stacking,3,test_roc_auc,0.9130625000000001
29,Stacking,4,test_roc_auc,0.9043819444444445
0,Bagging,0,fit_time,293.03774404525757
1,Bagging,1,fit_time,288.2021634578705
2,Bagging,2,fit_time,289.63266468048096
3,Bagging,3,fit_time,297.16759872436523
4,Bagging,4,fit_time,298.3882670402527
5,Bagging,0,score_time,4.499739170074463
6,Bagging,1,score_time,4.891523599624634
7,Bagging,2,score_time,4.78257417678833
8,Bagging,3,score_time,3.7338814735412598
9,Bagging,4,score_time,3.39239239692688
10,Bagging,0,test_precision,0.8726921896241723
11,Bagging,1,test_precision,0.8917398945518453
12,Bagging,2,test_precision,0.8908126588936618
13,Bagging,3,test_precision,0.9024272483869552
14,Bagging,4,test_precision,0.8953519256308101
15,Bagging,0,test_recall,0.8291666666666667
